1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,7,12,27,8,3,10,6,9,13,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,3,2,7,5,1,2,7,6,5,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,1,1,1,0,3,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,6,0,3,0,0,1,0,2,3,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,3,5,0,1,1,2,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,3,2,1,0,1,1,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,2,3,3,1,1,2,1,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,4,4,6,5,7,5,3,6,8,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,6,5,2,0,5,1,1,0,9,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,5,6,0,1,0,0,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,3,2,2,3,1,0,0,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,0,0,0,2,2,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,1,4,1,2,1,0,2,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,5,9,7,8,7,5,3,3,11,8,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,0,1,2,0,0,0,0,2,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,1,2,1,0,2,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,4,2,0,2,3,1,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,2,5,2,7,4,5,3,5,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,4,0,5,4,7,5,3,2,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,1,0,0,2,3,2,3,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,3,1,0,2,2,1,0,3,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,1,0,2,1,0,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,4,6,1,5,4,2,1,11,7,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,9,9,4,3,1,9,3,7,5,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,2,1,0,1,1,1,4,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,2,1,5,1,4,0,0,3,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,1,0,0,0,0,0,2,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,0,2,0,0,1,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,4,0,0,0,1,0,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,1,1,0,2,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,1,0,3,0,0,1,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,3,0,8,1,0,6,8,7,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,0,2,5,0,4,2,1,4,7,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,5,5,1,3,5,3,2,2,3,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,0,6,3,0,1,1,3,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,5,4,4,1,2,0,5,4,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,2,2,0,1,0,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,3,0,0,0,5,3,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,3,1,0,1,0,0,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,6,2,4,1,4,2,6,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,1,0,1,1,2,2,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,0,0,0,0,2,0,1,1,1,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
5,1,0,1,1,0,0,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,2,1,0,1,0,0,2,0,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
1,2,3,2,0,3,5,3,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,4,2,1,1,1,2,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,6,4,5,2,4,1,6,8,6,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,3,2,1,1,2,2,2,1,
1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,
1,1,1,0,1,0,1,1,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,2,1,2,3,4,3,6,4,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
4,3,1,0,0,0,0,1,0,2,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
1,1,2,1,1,2,1,0,0,0,2,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,0,1,1,2,0,3,1,0,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,0,2,1,1,0,0,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,7,5,0,1,0,1,3,2,
1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,
2,0,2,1,0,1,2,0,0,0,1,
1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,
3,1,2,3,5,1,1,0,0,0,1,
1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
1,1,0,2,1,1,0,0,0,0,1,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
1,1,1,0,0,0,1,1,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,4,1,2,1,0,0,0,0,1,1,
1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,
1,0,0,1,1,0,0,1,1,0,1,
1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,
1,2,2,2,1,0,2,1,4,0,1,
1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,
1,1,1,1,2,1,1,0,1,0,1,
1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,
1,0,0,1,1,0,3,3,0,1,1,
1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,
1,1,1,1,1,0,0,0,0,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,4,3,3,9,2,2,8,12,7,1,
1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,
1,1,2,1,2,1,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,0,0,2,0,0,1,0,1,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,1,6,1,1,1,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,3,3,1,0,0,0,0,1,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
1,1,6,3,0,3,0,3,2,5,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
5,4,3,3,3,4,2,3,7,5,10,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,4,0,0,0,0,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,2,5,2,1,2,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,5,4,4,1,1,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,2,1,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,0,1,0,1,0,2,3,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,1,0,1,1,0,0,3,1,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,1,2,0,0,0,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,0,2,1,2,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,4,2,1,0,0,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,1,1,6,4,0,2,0,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,1,1,0,1,1,0,1,0,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
2,0,0,1,0,1,0,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,1,0,1,0,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,1,0,1,0,1,2,1,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,0,0,4,0,1,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,4,6,3,3,4,0,3,4,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,0,2,2,2,0,1,2,5,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,1,0,2,1,2,0,0,1,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,2,3,1,0,0,2,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,2,1,0,2,0,0,2,1,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,0,1,1,2,2,0,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,1,0,0,1,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,3,7,12,5,7,5,5,5,12,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,0,6,11,11,1,3,8,8,6,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,2,2,4,3,6,6,6,7,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,0,0,1,0,0,1,1,1,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,1,1,2,2,2,1,1,2,3,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,5,1,3,2,2,1,0,0,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,3,4,1,7,2,2,5,7,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,5,1,2,4,0,0,1,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,1,1,2,0,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,0,4,4,1,3,2,0,0,0,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,1,0,1,1,2,0,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,3,1,5,5,4,1,1,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,1,0,0,0,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,9,9,8,14,8,11,4,8,10,7,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,0,2,2,2,1,2,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,3,4,3,2,1,1,1,4,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,2,0,2,0,1,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
6,2,8,6,3,5,2,0,1,2,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,3,2,4,2,1,0,0,1,0,1,
1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,
1,0,2,1,1,1,2,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,1,1,0,0,1,2,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
2,2,3,2,2,3,1,2,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,2,4,0,2,2,0,0,1,2,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,2,0,0,1,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,1,0,1,1,0,0,1,0,1,3,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
3,3,4,1,7,1,4,0,1,8,4,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,2,2,2,0,2,2,2,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,6,1,9,6,10,8,12,
1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,
3,2,3,0,1,1,3,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,3,1,2,3,0,0,2,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,2,0,2,2,1,0,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,2,3,4,3,0,0,2,3,2,
2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
3,1,0,0,2,2,1,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,1,1,0,3,3,6,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
8,7,3,2,4,1,3,1,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,2,3,1,0,0,0,0,1,3,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,0,1,1,2,0,1,0,1,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,4,5,8,3,4,3,5,3,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,0,3,0,0,0,1,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,1,1,2,4,1,1,0,0,1,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,1,1,4,0,1,1,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,1,3,1,0,0,1,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,3,1,1,0,2,1,1,2,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
2,1,3,3,1,3,0,3,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,7,8,3,1,4,9,2,0,6,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,1,2,0,1,1,0,0,1,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,1,0,0,1,1,1,0,0,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
2,1,0,1,1,0,1,0,0,0,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
8,4,1,0,0,1,0,0,1,1,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,0,2,1,1,1,0,0,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,1,2,1,0,1,0,2,2,2,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,3,2,1,4,2,4,2,2,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,4,0,2,1,1,0,1,0,0,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
3,1,2,1,1,2,3,1,0,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,6,0,5,1,0,1,3,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,1,1,1,0,1,0,1,2,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,4,0,6,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,0,2,1,0,1,2,0,1,0,6,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,1,1,0,2,0,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,0,1,1,2,1,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,3,1,5,1,0,2,0,0,1,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,3,0,2,1,1,0,1,2,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,1,0,0,2,2,2,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
2,1,1,1,1,1,0,0,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,0,0,1,0,1,0,2,1,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,1,0,1,2,0,0,2,5,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,2,2,3,2,0,1,0,5,4,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,3,0,2,1,0,0,1,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
4,2,1,2,1,1,2,0,1,2,2,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,1,1,0,2,0,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,2,1,1,3,0,1,0,0,1,3,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
2,2,2,2,1,0,0,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,2,3,4,3,4,2,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,1,1,1,0,1,1,2,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,4,3,2,4,3,2,1,0,6,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
1,3,0,1,0,1,1,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,0,2,0,2,1,0,1,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,2,0,0,1,1,1,0,0,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,0,2,1,0,1,0,2,7,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
5,8,5,6,9,2,6,9,4,8,4,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,0,1,1,0,0,1,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
2,3,0,2,2,0,4,1,2,2,2,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,2,3,1,3,1,0,1,0,0,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,3,2,0,1,0,0,3,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,2,1,0,0,1,1,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,1,1,1,2,0,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
2,1,4,2,2,2,0,0,0,2,3,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,3,0,2,0,0,0,0,1,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,2,0,1,1,1,0,0,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,2,1,0,1,3,0,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,0,1,0,0,0,1,1,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,3,0,1,1,1,0,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
3,2,1,0,0,1,0,1,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
2,2,1,1,0,1,1,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,0,1,0,0,2,0,2,1,1,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
1,2,0,1,0,1,1,0,0,0,1,
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,
2,0,1,0,0,1,1,1,0,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,0,3,1,0,0,0,0,2,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,0,1,2,0,1,1,0,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,1,0,0,1,1,0,1,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,4,1,2,1,0,1,2,1,1,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,1,2,2,1,0,0,0,1,0,1,
1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,
1,1,0,1,0,1,1,0,0,3,1,
1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,
1,2,3,5,1,0,0,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,1,2,0,1,1,0,0,2,1,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,1,3,2,2,0,0,0,0,1,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,2,0,0,0,1,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,0,1,1,1,4,0,1,0,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,4,2,2,1,2,0,0,1,1,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,1,1,1,1,0,1,1,1,4,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,0,1,2,0,0,1,0,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,1,1,1,0,2,0,0,2,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
3,1,1,1,0,0,0,0,1,1,3,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,4,8,4,0,1,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
3,1,0,2,1,3,0,1,1,1,3,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,1,3,3,0,0,0,1,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,0,3,1,1,1,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
5,3,2,2,1,0,1,0,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
3,1,8,4,6,3,1,1,0,2,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,1,1,1,3,0,1,0,0,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,0,2,2,1,0,0,1,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,1,2,2,0,0,1,0,1,0,2,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,0,0,1,0,0,1,3,0,2,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
3,2,1,0,2,0,1,0,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,1,2,0,2,1,1,1,1,0,1,
1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,
1,2,0,1,0,0,0,1,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
6,2,8,0,3,0,0,0,0,1,3,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
3,2,2,0,1,0,1,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,0,1,0,0,1,0,0,1,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,2,0,3,1,0,1,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,3,0,1,1,6,1,3,0,0,1,
1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,
4,2,0,1,2,3,2,0,1,0,1,
1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
1,1,0,1,2,0,0,2,2,2,2,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
4,1,1,2,2,0,0,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,2,3,1,0,1,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,0,1,0,0,2,0,1,0,1,1,
1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
1,0,0,1,0,1,1,1,0,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,0,2,1,3,3,0,0,1,0,1,
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,
1,1,0,1,0,3,0,0,0,2,1,
1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,
1,0,1,1,0,0,0,1,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
2,1,0,0,3,1,1,0,0,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
3,0,3,0,0,1,2,0,0,2,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,1,2,0,1,2,0,1,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,1,1,1,1,1,0,0,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
1,0,2,0,0,1,0,1,1,0,1,
1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,
3,1,0,0,1,0,0,1,1,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
1,3,2,0,0,0,1,0,1,0,1,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
1,0,1,1,0,0,1,0,1,0,1,
1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
3,5,10,3,4,4,7,1,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
1,2,1,1,0,1,0,0,0,0,1,
1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,
2,4,2,2,0,0,1,0,0,0,1,
